1,1,実習課題概要
2,1,実習項目１,image-100x142.jpg
3,2,カタラーゼ試験,flower.jpg
4,2,レンサ球菌,flower2x.jpg
5,2,オプトヒン、バシトラシン感受性試験,icon_info.png
6,2,同定
7,1,実習項目２
8,1,まとめ
