1,1,表紙
2,1,電子書籍で変わる出版業界の混乱は印刷会社のチャンスだ
9,2,再販制度を捨てて勝負しろ
15,1,インプレスジャパンの無償配布EPUB版とPDF版を検証する
15,2,無償配布のメリット
17,2,フォントサイズ
19,2,３種類の表示サイズを考慮する
25,1,「絶版堂」が絶版になったのには理由がある
